WKT,nama,deskripsi
"POLYGON ((106.8904349 -6.3015104, 106.8893861 -6.3014997, 106.8894263 -6.3027154, 106.8903973 -6.3027101, 106.8904617 -6.3026354, 106.8904831 -6.3024648, 106.8903812 -6.3023422, 106.8903115 -6.3020809, 106.8903276 -6.3018943, 106.8903544 -6.3017663, 106.8904402 -6.301681, 106.8905153 -6.3016597, 106.8904349 -6.3015104))",Taman Mini Indonesia Indah ,
"POLYGON ((106.8513017 -6.2330349, 106.8509316 -6.2328163, 106.8507331 -6.2332802, 106.8506795 -6.2336962, 106.8507278 -6.2340428, 106.850878 -6.2344534, 106.851055 -6.2345867, 106.8511851 -6.2346893, 106.8514318 -6.2348253, 106.8519656 -6.2351346, 106.852376 -6.2354305, 106.8524746 -6.2355543, 106.8525443 -6.2356503, 106.8526114 -6.2357756, 106.8526557 -6.2359396, 106.8526852 -6.2360902, 106.8526892 -6.2363115, 106.8526865 -6.2364622, 106.8525122 -6.2370514, 106.8522547 -6.2378113, 106.852142 -6.2383366, 106.8520347 -6.2386699, 106.8517719 -6.2396351, 106.851729 -6.2399871, 106.8520294 -6.2407656, 106.8524585 -6.2417415, 106.8527106 -6.2421201, 106.8539713 -6.2420401, 106.8536601 -6.2417522, 106.8534027 -6.2414322, 106.8531988 -6.2411229, 106.8530379 -6.240643, 106.852952 -6.240051, 106.8529735 -6.2393205, 106.853113 -6.2389099, 106.8534885 -6.2378647, 106.8535904 -6.2368355, 106.8535099 -6.2356516, 106.8532793 -6.2347024, 106.8528448 -6.234809, 106.8527643 -6.2339985, 106.8526034 -6.2335025, 106.8516646 -6.2335185, 106.8513374 -6.2335292, 106.8512783 -6.2334279, 106.8513017 -6.2330349))",Tebet Echo Park,
